price picture battery storage upgrade hardware feature size design media sound service help-care overall
19 7 4 8 3 7 1 5 5 13 8 7 4 14 4.6
4 6 2 4 0 7 1 2 1 6 4 8 1 17 2.8
16 4 3 12 6 9 9 3 9 14 9 17 6 31 4.2
12 7 5 4 4 2 5 3 7 7 9 6 6 23 3.9
13 7 6 8 3 13 6 2 4 7 5 8 6 27 4.1
11 13 17 12 4 10 6 5 9 6 8 8 1 22 4.0
11 6 4 12 3 8 6 4 3 10 5 10 6 25 4.4
4 2 1 1 0 1 6 2 2 1 3 4 2 16 3.6
5 2 1 0 2 5 4 2 3 2 2 8 2 10 4.2
12 1 1 3 0 5 4 4 7 5 3 10 4 20 3.0
7 13 6 2 1 3 2 3 3 3 7 5 4 18 4.6
17 7 13 11 1 5 0 1 1 3 4 9 2 16 3.7
27 22 8 21 2 9 2 5 2 12 2 7 0 13 4.1
10 3 6 5 1 0 3 0 2 1 0 10 1 9 3.7
27 16 7 19 10 4 1 3 6 6 3 6 2 12 4.2
19 17 4 17 9 6 9 11 15 4 6 12 6 21 3.6
7 6 2 3 1 5 4 0 1 2 2 9 2 18 3.9
4 8 4 4 2 6 2 2 5 1 2 10 1 21 4.6
2 9 1 4 1 8 2 1 4 1 2 17 2 24 4.2
11 3 3 7 0 4 6 2 11 9 5 18 6 27 4.4
5 2 1 1 0 0 1 2 3 1 1 8 0 18 4.6
4 2 1 11 0 1 3 5 2 0 1 6 3 7 4.6
12 6 5 16 0 2 7 5 10 0 5 14 6 36 4.5
5 4 4 8 1 0 4 3 3 2 6 8 2 16 3.9
8 0 5 3 0 1 2 1 2 1 1 9 1 9 3.6
10 8 6 7 3 6 6 2 2 1 2 13 1 18 3.9
10 4 1 7 3 1 7 1 3 3 5 11 5 21 3.6
7 1 1 7 0 1 4 1 3 1 2 6 4 22 4.4
11 3 3 7 0 4 6 2 11 9 5 18 6 27 4.4
